query_id,query_term
1089763,miners
1089401,tsca
1088958,cadi
1088541,"fletcher,nc"
1088475,"holmes,ny"
1101090,azadpour
1088444,kashan
1085779,canopius
1085510,carewell
1085348,polson
1085229,wendelville
1100499,trematodiases
1100403,arcadis
1064808,acantholysis
1100357,ardmore
1062223,animsition
1058515,cladribine
1051372,cineplex
1048917,misconfiguration
1045135,wellesley
1029552,tosca
1028752,watamote
1099761,ari
1020376,amplicons
1002940,iheartradio
1000798,alpha
992257,desperation
197024,greenhorns
61277,brat
44072,chatsworth
195582,dammam
234165,saluki
196111,gorm
329958,pesto
100020,cortana
193866,izzam
448976,potsherd
575616,ankole
434835,konig
488676,retinue
389258,hughes
443081,lotte
511367,nfcu
212477,ouachita
544060,dresden
428773,wunderlist
478295,tigard
610132,neodesha
435412,lakegirl
444350,mageirocophobia
492988,saptco
428819,swegway
477286,antigonish
478054,paducah
1094996,tacko
452572,mems
20432,aqsarniit
559709,plectrums
748935,fraenulum?
482666,defdinition
409071,ecpi
1101668,denora
537995,cottafavi
639084,hortensia
82161,windirstat
605651,emmett
720013,arzoo
525047,trumbull
978802,browerville
787784,provocative
780336,orthorexia
1093438,lickspittle
788851,qualfon
61531,campagnolo
992652,setaf
1092394,msdcf
860942,viastone
863187,wintv
1092159,northwoods
990010,paihia
840445,prentice-hall
775355,natamycin
986325,lapham
1091654,parisian
768411,mapanything?
194724,gesundheit
985905,sentral
1091206,putrescine
760930,islet
1090945,ryder
1090839,bossov
1090808,semispinalis
774866,myfortic
820027,lithotrophy
798967,spredfast
126821,scooped
60339,stroganoff
1090374,strategery
180887,enu
292225,molasses
